radius,mse,r2,train_n,test_n
0,3.858300122083333e-05,0.99051890912032,16000,4000
1,5.199613550611627e-06,0.9987222868348058,16000,4000
2,2.9432128751011326e-06,0.9992767574355514,16000,4000
3,2.4967486981383645e-06,0.9993864681190744,16000,4000
