radius,mse,r2,train_n,test_n
0,0.0032304698745227144,0.8487788722602926,16000,4000
1,0.00023861511216941592,0.9888302173493176,16000,4000
2,0.00011625583916469303,0.9945579622198433,16000,4000
3,9.788392383061109e-05,0.995417967687614,16000,4000
