family,radius,continuity_residual_mse,rho_variance,J_variance,mean_abs_residual,is_minimal_useful
linear,2,0.0239794310182333,0.999988317489624,0.9999948143959045,0.11186374723911285,True
linear,0,0.3969062268733978,0.9999828338623047,0.9999913573265076,0.4750784635543823,False
linear,1,0.552537202835083,0.9999927282333374,0.9999943375587463,0.5605342388153076,False
