center_cell,left_neighbor,right_neighbor,next_cell,neighborhood_class,local_density,local_current,method,x,y
1,1,1,0,7,1.0,,pca,0.3608789104009399,0.07949792448235327
0,0,0,0,0,0.0,,pca,-0.25478450453759166,-0.02094983373227277
1,0,1,0,3,0.6666667,,pca,0.34208032999947136,-0.0014143996604086828
1,0,0,1,2,0.33333334,,pca,0.08756251937552606,-0.35233573483127634
0,1,0,1,4,0.33333334,,pca,-0.15346442716180597,0.2419245293734068
0,0,0,0,0,0.0,,pca,-0.22303577724652368,0.02542316975535608
1,0,1,0,3,0.6666667,,pca,0.3739053070938635,0.05099562380110911
1,0,0,1,2,0.33333334,,pca,0.14374896859031627,-0.31410451711936943
1,0,1,0,3,0.6666667,,pca,0.34971667853424926,-0.014304722145002224
0,1,0,1,4,0.33333334,,pca,-0.25904697594503934,0.08585422035316082
0,0,0,0,0,0.0,,pca,-0.2178617805306018,0.07385027651628251
1,1,0,0,6,0.6666667,,pca,0.3362575526536863,0.03207427315470768
0,1,0,1,4,0.33333334,,pca,-0.41488302503777086,-0.09970150813796175
1,0,0,1,2,0.33333334,,pca,0.12672533544674014,-0.3470927086796337
0,1,0,1,4,0.33333334,,pca,-0.38520615415730475,-0.07187043076691146
1,0,1,0,3,0.6666667,,pca,0.4525003294540352,0.10461821035893104
1,0,1,0,3,0.6666667,,pca,0.24534968182541295,-0.0893073249557857
1,0,0,1,2,0.33333334,,pca,0.24830357231797362,-0.179154354796623
0,0,1,1,1,0.33333334,,pca,-0.3195968305728047,-0.04400830885381557
0,0,0,0,0,0.0,,pca,-0.14156978205436277,0.14866966750077515
1,0,0,1,2,0.33333334,,pca,0.10994010219488892,-0.3483647528910066
0,0,1,1,1,0.33333334,,pca,-0.21016099935273425,0.13587760912819424
0,1,1,1,5,0.6666667,,pca,-0.22592234056160732,0.16098784753906858
1,1,1,0,7,1.0,,pca,0.31029325425147236,0.028864073851434524
0,1,0,1,4,0.33333334,,pca,-0.40029284360217043,-0.08584972422203635
0,0,1,1,1,0.33333334,,pca,-0.3195968106858633,-0.04400827525076145
1,0,1,0,3,0.6666667,,pca,0.4525002962589132,0.10461819865467414
1,1,1,0,7,1.0,,pca,0.4743273241613991,0.2163809583949048
1,1,1,0,7,1.0,,pca,0.33481853037704223,0.06138319664305625
1,0,1,0,3,0.6666667,,pca,0.35828776133066353,-0.011068329233531404
1,0,0,1,2,0.33333334,,pca,0.05944577917613436,-0.3611309864856095
0,1,0,1,4,0.33333334,,pca,-0.38520621322241144,-0.07187043329250065
1,0,1,0,3,0.6666667,,pca,0.2759494526469436,-0.08014653184811454
1,0,0,1,2,0.33333334,,pca,0.10994017202583184,-0.3483647862172671
1,0,0,1,2,0.33333334,,pca,0.1099401728642444,-0.3483647881062724
1,0,1,0,3,0.6666667,,pca,0.2536616962139141,-0.0863104810560335
1,0,1,0,3,0.6666667,,pca,0.15079474807267057,-0.23209339012808677
1,1,0,0,6,0.6666667,,pca,0.09124308499189715,-0.26218807147362544
0,0,1,1,1,0.33333334,,pca,-0.33442699859157116,-0.05635263217628361
1,1,1,0,7,1.0,,pca,0.4663283398490353,0.22389809860997256
0,1,1,1,5,0.6666667,,pca,-0.22592230272876057,0.16098783419964224
0,1,0,1,4,0.33333334,,pca,-0.4148830060607546,-0.09970148401819556
1,0,1,0,3,0.6666667,,pca,0.34364092433983073,0.021137394064631
0,0,0,0,0,0.0,,pca,-0.3884193448036713,-0.17841609150426174
0,1,0,1,4,0.33333334,,pca,-0.3250520477040838,-0.01457712403506195
1,0,1,0,3,0.6666667,,pca,0.27594947911622325,-0.08014657156533556
0,0,0,0,0,0.0,,pca,-0.29317112340649615,-0.037047916346039544
0,0,0,0,0,0.0,,pca,-0.21786173048832036,0.07385028863116638
0,0,0,0,0,0.0,,pca,-0.1049597731513181,0.18281364393889077
1,0,0,1,2,0.33333334,,pca,0.10994010676878874,-0.34836480498377936
0,1,0,1,4,0.33333334,,pca,-0.40029293864225796,-0.08584978474892846
1,0,0,1,2,0.33333334,,pca,0.08756252424307365,-0.35233577653870185
0,0,0,0,0,0.0,,pca,-0.21583692420247613,0.002650091242992869
1,0,1,0,3,0.6666667,,pca,0.3880231266905835,0.017447795898936636
1,1,0,0,6,0.6666667,,pca,0.22475837382377328,-0.11589740435741736
0,0,1,1,1,0.33333334,,pca,-0.19191827140005124,0.1646526024628282
1,1,1,0,7,1.0,,pca,0.26497974564899984,-0.07368934967245039
1,1,0,0,6,0.6666667,,pca,0.21972545339615657,-0.10001719365933542
1,0,1,0,3,0.6666667,,pca,0.2843290114502718,-0.07714319741520659
1,1,0,0,6,0.6666667,,pca,0.2885531118022503,-0.06768575128365967
0,0,0,0,0,0.0,,pca,-0.14156976423677314,0.14866970537313295
0,0,0,0,0,0.0,,pca,-0.1415696449784063,0.14866980116849504
0,1,0,1,4,0.33333334,,pca,-0.40029277614080067,-0.0858497356949533
0,0,1,1,1,0.33333334,,pca,-0.3195968418950894,-0.04400825368091721
1,0,1,0,3,0.6666667,,pca,0.28432889982231846,-0.07714338677373622
1,1,0,0,6,0.6666667,,pca,0.3807157559202564,0.05665341337950647
0,1,1,1,5,0.6666667,,pca,-0.09077647413214218,0.4022043927981426
