center_cell,left_neighbor,right_neighbor,next_cell,neighborhood_class,local_density,local_current,method,x,y
1,0,1,1,3,0.6666667,,pca,0.4514097536758599,-0.4252853478747274
0,1,0,0,4,0.33333334,,pca,-0.48403734844540375,0.32947703543671863
0,0,0,0,0,0.0,,pca,-0.4737059148253169,0.1632093382277593
0,0,0,0,0,0.0,,pca,-0.4995674760304859,0.1604065765732891
0,0,0,0,0,0.0,,pca,-0.4864509365798383,0.11737823779668538
0,1,0,0,4,0.33333334,,pca,-0.48403738009166825,0.32947700843736816
0,1,1,1,5,0.6666667,,pca,-0.5987953293754071,-0.07542862718620413
0,0,1,1,1,0.33333334,,pca,-0.5728036089096131,-0.38757390489826027
0,1,0,0,4,0.33333334,,pca,-0.4968744515315996,0.37175350962404297
0,0,0,0,0,0.0,,pca,-0.48116836324526074,0.1314595391409204
0,1,1,1,5,0.6666667,,pca,-0.6008985162058376,-0.1575728367364697
0,0,0,0,0,0.0,,pca,-0.4757731079260838,0.11393186888730289
0,1,1,1,5,0.6666667,,pca,-0.5883005718683965,-0.1339105857739411
0,0,1,1,1,0.33333334,,pca,-0.5812556413575936,-0.34519730467551557
0,0,1,1,1,0.33333334,,pca,-0.5784386385179923,-0.3477365370718849
1,1,0,1,6,0.6666667,,pca,0.4662532779459936,0.44611415934003396
1,1,1,0,7,1.0,,pca,0.37412470313326807,-0.07617246576024161
1,0,0,1,2,0.33333334,,pca,0.4977433081323174,0.12162671028916527
0,1,0,0,4,0.33333334,,pca,-0.4925667900262299,0.3959956068217455
0,0,1,1,1,0.33333334,,pca,-0.559868032404869,-0.37135668656353604
1,0,1,1,3,0.6666667,,pca,0.4500858651105324,-0.4059083234086748
0,0,1,1,1,0.33333334,,pca,-0.5653329704324529,-0.3738013345633435
0,0,0,0,0,0.0,,pca,-0.46437711165794404,0.13780891793533434
0,0,1,1,1,0.33333334,,pca,-0.5818083964744145,-0.35500424756591753
1,0,1,1,3,0.6666667,,pca,0.4188740698939447,-0.44591969397425635
1,0,1,1,3,0.6666667,,pca,0.3990809629617247,-0.41089221598711345
1,1,1,0,7,1.0,,pca,0.37869579653876173,-0.11295050286152575
1,0,1,1,3,0.6666667,,pca,0.4335991333509508,-0.4004435494521089
1,0,1,1,3,0.6666667,,pca,0.4049011948573016,-0.41882906710505285
1,1,1,0,7,1.0,,pca,0.34601713122714717,-0.1388455474498318
0,1,1,1,5,0.6666667,,pca,-0.6052845502905153,-0.10340027379932137
0,1,0,0,4,0.33333334,,pca,-0.4854597964511137,0.32926845003819494
0,0,0,0,0,0.0,,pca,-0.4767401816720505,0.11087978603418541
1,1,1,0,7,1.0,,pca,0.35603238039655893,-0.1003945252290519
1,0,1,1,3,0.6666667,,pca,0.45008582034123323,-0.4059083341949121
0,1,0,0,4,0.33333334,,pca,-0.5181303754450368,0.3708185549665661
1,1,0,1,6,0.6666667,,pca,0.4730372498154326,0.45683765896685746
0,1,1,1,5,0.6666667,,pca,-0.6033710057186703,-0.11447451740899162
1,1,1,0,7,1.0,,pca,0.3742472471128834,-0.10972977320740418
0,1,1,1,5,0.6666667,,pca,-0.6111055199070088,-0.08815822257541017
1,1,0,1,6,0.6666667,,pca,0.4623771868481231,0.4746102630132504
1,1,1,0,7,1.0,,pca,0.3460170756851496,-0.13884562350350105
0,0,0,0,0,0.0,,pca,-0.4939984034458488,0.15735835248840735
1,1,1,0,7,1.0,,pca,0.34207675516105174,-0.14157192574975141
1,1,1,0,7,1.0,,pca,0.374382680824516,-0.11567538390222709
1,1,1,0,7,1.0,,pca,0.37058734366440227,-0.07011225748027294
