family,conservation_score,Q_variance,local_q_variance,mean_abs_delta_Q
linear,6.382399533322314e-06,1183.9503173828125,0.999990701675415,0.01900600455701351
mlp,0.000965025566983968,690.1669311523438,0.9999972581863403,0.17665725946426392
