radius,mse,r2,train_n,test_n
0,0.0004048989198170863,0.9130698114968954,16000,4000
1,5.1488662447794406e-05,0.9889455888536786,16000,4000
2,2.369513332160026e-05,0.9949127490703521,16000,4000
3,1.820023531191343e-05,0.996092481829341,16000,4000
